title,slug,excerpt,author,category,read_time,status,content,thumbnail_url,thumbnail_alt
"Can diet influence mental health?","can-diet-influence-mental-health-315","Growing evidence suggests a link between diet and mental health. Just another reason to eat plenty of fruits and veggies.","FXMed Team","Mental Health & Stress","5 min read","draft","","",""
"Eat well at work","eat-well-at-work-316","Is your workspace sabotaging your wellness efforts? Take steps now to remove unhealthy foods from your workday.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Eat well to age well","eat-well-to-age-well-317","Aging is inevitable. Unfortunately, aging well is not. Improving your diet now can assist you with stay healthy as you age.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Which fish to buy? Farmed or wild?","which-fish-to-buy-farmed-or-wild-318","You want to eat more fish but you're confused about which to choose. Get the facts on wild-caught versus farm-raised fish.","FXMed Team","General Wellness","5 min read","draft","","",""
"Fish and Mercury contamination","fish-and-mercury-contamination-319","Is concern about mercury contamination putting you off fish? It doesn't have to. See which fish to choose and which to steer clear of.","FXMed Team","General Wellness","5 min read","draft","","",""
"Food fraud: Is it for real?","food-fraud-is-it-for-real-320","Coffee, cheese, oil, spices are examples of products that have been altered illegally for sale. Discover how food fraud happens and how to protect yourself.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"App helps reduce food waste","app-helps-reduce-food-waste-321","If you've ever grabbed a food from the fridge only to find that it was past the expiration date, this app is for you.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Fruit or vegetable: What's the difference?","fruit-or-vegetable-whats-the-difference-322","Do you know the difference between fruits and vegetables? And do you get enough of both in your diet?","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Genetically modified foods — Why the controversy?","genetically-modified-foods-why-the-controversy-323","Get the facts on genetically modified foods and why they're so controversial.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Heavy coffee consumption — Risky for some?","heavy-coffee-consumption-risky-for-some-324","If you regularly drink more than four cups of coffee a day, you may want to take note of a report on heavy coffee consumption and risk of early death.","FXMed Team","General Wellness","5 min read","draft","","",""
"What's on your kitchen counter affects your weight","whats-on-your-kitchen-counter-affects-your-weight-325","The food on your kitchen counter may be undermining your weight-reduction efforts.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Age-related macular degeneration and Diet","age-related-macular-degeneration-and-diet-326","Although age and genetics play a role, age-related macular degeneration (AMD) is related to diet. See what foods may help prevent or delay AMD.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Meat and Cancer risk","meat-and-cancer-risk-327","Certain types of meat may increase your risk of colorectal cancer. Identify which types and how to moderate your risk.","FXMed Team","Chronic Conditions","5 min read","draft","","",""
"Milk substitutes: What you need to know","milk-substitutes-what-you-need-to-know-328","Not all milk substitutes offer equal nutrition. If you have health problems, talk with your doctor or dietitian before grabbing a carton.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"What Is The mind diet?","what-is-the-mind-diet-329","Increasingly, diet is being recognized for its role in brain health. Discover which foods may help preserve cognitive function.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Omega-3 fatty acids and Heart disease","omega-3-fatty-acids-and-heart-disease-330","If you're worried about heart disease, a nutritious eating plan that includes fish twice a week could reduce your risk. Discover if fish oil pills also offer the same benefit.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Orthorexia: When healthy eating becomes extreme","orthorexia-when-healthy-eating-becomes-extreme-331","Can trying to eat a nutritious eating plan be hazardous? It can if it becomes an obsession. Gain the ability to identify the warning signs.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Shape up your diet with a few tweaks","shape-up-your-diet-with-a-few-tweaks-332","Diets are hard to follow. Eating by the numbers is boring. Instead, try to eat more real food (think plants) and fewer items that come in a box.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Sustainable food choices","sustainable-food-choices-333","Does what's on your plate affect the environment? You bet. See how you can make choices that are good for you and the globe.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Can You Develop a taste for healthy foods?","can-you-develop-a-taste-for-healthy-foods-334","Eating healthy doesn't have to be boring. You can find healthy foods that suit your taste.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Is it time for an oil change?","is-it-time-for-an-oil-change-335","The quantity of omega-6 fatty acids in the American diet has greatly increased. And so has the incidence of obesity. Is there a link?","FXMed Team","Weight Management","5 min read","draft","","",""
"Why variety matters for your health and The planet's","why-variety-matters-for-your-health-and-the-planets-336","Variety is critical to a nutritious eating plan. Yet the diversity of species contributing to the food supply is declining. What does it mean and what can you do?","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Heartburn medicines and B-12 deficiency","heartburn-medicines-and-b-12-deficiency-337","Acid-controlling medications may do more than prevent heartburn. They may also interfere with vitamin B-12 absorption.","FXMed Team","Heart Health","5 min read","draft","","",""
"Coronavirus: what is it and How can i protect myself?","coronavirus-what-is-it-and-how-can-i-protect-myself-338","Coronavirus disease 2019 (COVID-19) is caused by a virus that spreads between people. Discover how to protect yourself and those close to you.","FXMed Team","General Wellness","5 min read","draft","","",""
"How Do covid-19 antibody tests differ from diagnostic tests?","how-do-covid-19-antibody-tests-differ-from-diagnostic-tests-339","Antibody testing determines if you had COVID-19 (coronavirus) infection in the past. It differs from testing to diagnose if you currently have COVID-19.","FXMed Team","General Wellness","5 min read","draft","","",""
"COVID-19 drugs: Are there any that work?","covid-19-drugs-are-there-any-that-work-340","Many treatments are being studied for COVID-19. Only one drug has been approved -; an antiviral drug called remdesivir.","FXMed Team","General Wellness","5 min read","draft","","",""
"Covid-19 and pets: can dogs and Cats get covid-19?","covid-19-and-pets-can-dogs-and-cats-get-covid-19-341","Discover how COVID-19 can affect dogs and cats, what you can do to protect your pet, and how to care for your pet if it becomes sick.","FXMed Team","General Wellness","5 min read","draft","","",""
"Sex and Covid-19: can you get covid-19 from sexual activity?","sex-and-covid-19-can-you-get-covid-19-from-sexual-activity-342","Discover whether COVID-19 can be spread during sexual activity and how to reduce your risk of getting the virus from a sexual partner.","FXMed Team","General Wellness","5 min read","draft","","",""
"Unusual COVID-19 symptoms: What are they?","unusual-covid-19-symptoms-what-are-they-343","Discover about the unusual symptoms of coronavirus disease 2019 (COVID-19), including COVID toes, nausea, and loss of smell or taste.","FXMed Team","General Wellness","5 min read","draft","","",""
"COVID-19 infections by race: What's behind the health disparities?","covid-19-infections-by-race-whats-behind-the-health-disparities-344","Understand how underlying health problems, the places where people live and work, and racism can affect who becomes severely ill with COVID-19.","FXMed Team","General Wellness","5 min read","draft","","",""
"Can vitamin D protect against coronavirus disease 2019 (COVID-19)?","can-vitamin-d-protect-against-coronavirus-disease-2019-covid-19-345","Discover what the research says about vitamin D and coronavirus disease 2019 (COVID-19).","FXMed Team","General Wellness","5 min read","draft","","",""
"COVID-19 variants: What's the concern?","covid-19-variants-whats-the-concern-346","The virus that causes COVID-19 has changed over time, which has affected prevention, diagnosis and treatment of COVID-19.","FXMed Team","Healthy Habits","5 min read","draft","","",""
"COVID-19 vaccine: Should I reschedule my mammogram?","covid-19-vaccine-should-i-reschedule-my-mammogram-347","Swollen lymph nodes caused by the COVID-19 vaccine can look like breast cancer on a mammogram. Discover what to do if you've got a mammogram scheduled.","FXMed Team","Chronic Conditions","5 min read","draft","","",""
"Quote: You don't have to do it all ...","quote-you-dont-have-to-do-it-all-348","What a Mayo Clinic doctor says about asking for help.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: Attitude creates reality ...","quote-attitude-creates-reality-349","What a Mayo Clinic doctor says about setbacks.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: Some individuals have opportunities ...","quote-some-individuals-have-opportunities-350","""Some individuals have opportunities ...""","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: As children, we played for fun ...","quote-as-children-we-played-for-fun-351"," What a Mayo Clinic physical therapist says about the benefits of play.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: It's become a badge of honor ...","quote-its-become-a-badge-of-honor-352","What a Mayo Clinic doctor says about burning the candles at both ends.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: Start with a clean slate ...","quote-start-with-a-clean-slate-353","What a Mayo Clinic doctor says about what you can discover from spring training.","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Quote: Find a confidant ...","quote-find-a-confidant-354","What a Mayo Clinic doctor says about calling on a confidant.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: Losing weight may be a matter of ...","quote-losing-weight-may-be-a-matter-of-355","What a Mayo Clinic registered nurse says about eliminating things for weight reduction.","FXMed Team","Weight Management","5 min read","draft","","",""
"Quote: Everyone, regardless of the credentials on the ...","quote-everyone-regardless-of-the-credentials-on-the-356","What a Mayo Clinic Ph.D. says about struggles and setbacks. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: Your fate isn't a roll of the genetic dice ...","quote-your-fate-isnt-a-roll-of-the-genetic-dice-357","What a Mayo Clinic doctor says about your fate.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: Too often, we don't give ourselves credit ...","quote-too-often-we-dont-give-ourselves-credit-358","What a Mayo Clinic Ph.D. says about giving yourself credit for good choices.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: Make gradual changes ...","quote-make-gradual-changes-359","What a Mayo Clinic registered dietitian nutritionist says about healthier food and beverage choices.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Quote: Take care of yourself ...","quote-take-care-of-yourself-360","What a Mayo Clinic doctor says about healthy boundaries.","FXMed Team","General Wellness","5 min read","draft","","",""
"Quote: A healthy diet is ...","quote-a-healthy-diet-is-361","What a Mayo Clinic doctor says about a nutritious eating plan.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Quote: The sandwich can be the foundation of ...","quote-the-sandwich-can-be-the-foundation-of-362","What a Mayo Clinic registered dietitian nutritionist says about a perfect meal.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Quote: everyone has setbacks and Disappointments ...","quote-everyone-has-setbacks-and-disappointments-363","What a Mayo Clinic doctor says about setbacks.","FXMed Team","General Wellness","5 min read","draft","","",""
"Physical activity and Weight management","physical-activity-and-weight-management-364","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Getting Your family involved","getting-your-family-involved-365","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Keep motivated","keep-motivated-366","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Making A plan to exercise","making-a-plan-to-exercise-367","Inspiring quotes from Mayo Clinic experts","FXMed Team","Exercise & Fitness","5 min read","draft","","",""
"Give yourself a break when making healthy lifestyle changes","give-yourself-a-break-when-making-healthy-lifestyle-changes-368","Inspiring quotes from Mayo Clinic experts","FXMed Team","Healthy Habits","5 min read","draft","","",""
"Keep pursuing your goals","keep-pursuing-your-goals-369","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Starting Making small changes","starting-making-small-changes-370","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Taking Steps to make changes today","taking-steps-to-make-changes-today-371","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"What's your health vision?","whats-your-health-vision-372","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Look back at what's worked","look-back-at-whats-worked-373","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Just move!","just-move-374","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Healthy changes can affect others","healthy-changes-can-affect-others-375","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Stay the course","stay-the-course-376","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Bounce back from setbacks","bounce-back-from-setbacks-377","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Focus on fruits and Veggies","focus-on-fruits-and-veggies-378","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"How to cope with change","how-to-cope-with-change-379","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Love your leisure time","love-your-leisure-time-380","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Taste something new","taste-something-new-381","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Evaluate your values","evaluate-your-values-382","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Think small","think-small-383","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Building Your social ties","building-your-social-ties-384","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Just keep moving","just-keep-moving-385","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Find meaning in work","find-meaning-in-work-386","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Commit to your goals","commit-to-your-goals-387","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"One healthy step at a time","one-healthy-step-at-a-time-388","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Maximize your free time","maximize-your-free-time-389","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Treat yourself","treat-yourself-390","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"The benefits of spirituality","the-benefits-of-spirituality-391","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Think small","think-small-392","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Taking Time for yourself","taking-time-for-yourself-393","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Eating tips for hectic days","eating-tips-for-hectic-days-394","Inspiring quotes from Mayo Clinic experts","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Smart goal-setting","smart-goal-setting-395","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Cook up something new","cook-up-something-new-396","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Getting Specific on healthy goals","getting-specific-on-healthy-goals-397","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Taking A deep breath","taking-a-deep-breath-398","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Saved by the shopping list","saved-by-the-shopping-list-399","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Post your reasons","post-your-reasons-400","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Three secrets to better energy","three-secrets-to-better-energy-401","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Your daily blessing","your-daily-blessing-402","Inspiring quotes from Mayo Clinic experts","FXMed Team","General Wellness","5 min read","draft","","",""
"Alfredo sauce","alfredo-sauce-403","This creamy sauce is low in fat, thanks to skim milk and low-fat cream cheese.","FXMed Team","General Wellness","5 min read","draft","","",""
"Almond crusted chicken","almond-crusted-chicken-404","Almonds add crunch and nutrition to your same-old chicken.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Apple cinnamon muffins","apple-cinnamon-muffins-405","These apple muffins are filling, thanks to milled oats and flaxseed meal in the batter.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Avocado aioli","avocado-aioli-406","Spread this aioli on your favorite sandwich or use as a dip with fresh vegetables.","FXMed Team","General Wellness","5 min read","draft","","",""
"Avocado salsa","avocado-salsa-407","This salsa is best served immediately but can be kept in the refrigerator overnight.","FXMed Team","General Wellness","5 min read","draft","","",""
"Baked brie envelopes","baked-brie-envelopes-408","This combination of puff pastry, Brie and cranberries makes for a tasty, festive appetizer.","FXMed Team","General Wellness","5 min read","draft","","",""
"Balsamic feta chicken","balsamic-feta-chicken-409","Balsamic vinegar and crumbled feta cheese give this baked chicken dish lots of flavor with very little hands-on time.","FXMed Team","General Wellness","5 min read","draft","","",""
"Banana oatmeal pancakes","banana-oatmeal-pancakes-410","For a nuttier flavor, replace 1/4 cup whole-wheat flour with ground flaxseeds or ground pumpkin seeds. ","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Banana pecan compote","banana-pecan-compote-411","Serve this flavorful banana topping on pancakes or waffles, or pair with your favorite low-fat yogurt.","FXMed Team","General Wellness","5 min read","draft","","",""
"Barley risotto with asparagus","barley-risotto-with-asparagus-412","This hearty barley risotto is best with seasonable vegetables. If asparagus isn't in season, swap in summer squash, butternut squash or peppers.","FXMed Team","Heart Health","5 min read","draft","","",""
"Basil pesto stuffed mushrooms","basil-pesto-stuffed-mushrooms-413","This appetizer can be prepared a day in advance. Refrigerate until ready to serve.","FXMed Team","General Wellness","5 min read","draft","","",""
"Barbecue turkey burger","barbecue-turkey-burger-414","Oats pack hidden nutrition into this zesty, barbecue-flavored turkey burger.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Black bean quesadillas","black-bean-quesadillas-415","These vegetarian quesadillas prove that you don't need a lot of cheese in this dish -; just enough to bind them together.","FXMed Team","General Wellness","5 min read","draft","","",""
"Blackened sole","blackened-sole-416","Fresh sole and homemade blackening seasoning are a fantastic combination, and you'll have plenty of leftover spice mix for other fish or meats.","FXMed Team","General Wellness","5 min read","draft","","",""
"Blueberry lavender lemonade","blueberry-lavender-lemonade-417","Dried lavender and fresh blueberries make this homemade lemonade a refreshing summer hit. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Broccoli with garlic and Lemon","broccoli-with-garlic-and-lemon-418","This tasty side dish pairs crisp broccoli with lemon zest and minced garlic and can be ready in less than 10 minutes. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Brown-sugared pork tenderloin stir-fry","brown-sugared-pork-tenderloin-stir-fry-419","This stir-fry takes a little planning because the pork sits in a brown sugar rub for 2 hours before cooking, but it's worth it.","FXMed Team","General Wellness","5 min read","draft","","",""
"Butternut squash ravioli","butternut-squash-ravioli-420","After boiling the ravioli, you can saute briefly in a little olive oil or butter, if desired.","FXMed Team","General Wellness","5 min read","draft","","",""
"Butternut squash risotto","butternut-squash-risotto-421","Traditional risotto is made with white rice. Brown rice adds fiber and nutrients.","FXMed Team","General Wellness","5 min read","draft","","",""
"Caramelized balsamic vinaigrette","caramelized-balsamic-vinaigrette-422","This thick, sweet vinaigrette is the perfect complement to salad ingredients that are tart, such as apples or dried cherries.","FXMed Team","General Wellness","5 min read","draft","","",""
"Caramelized onion chicken pizza","caramelized-onion-chicken-pizza-423","This homemade pizza -; topped with chicken, barbecue sauce and caramelized onions -; is a perfect weekend cooking project. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Carne asada","carne-asada-424","In this Latin American dish, skirt steak marinates overnight before it's grilled and served in slices.","FXMed Team","General Wellness","5 min read","draft","","",""
"Chicken and Zucchini quesadilla","chicken-and-zucchini-quesadilla-425","This recipe is a great way to use up leftover cooked chicken breast. Top with light sour cream and pico de gallo.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Chicken cordon bleu","chicken-cordon-bleu-426","A twist on classic chicken cordon bleu, this version adds spinach to the ham and cheese filling.","FXMed Team","General Wellness","5 min read","draft","","",""
"Chicken Parmesan","chicken-parmesan-427","Many chicken Parmesan recipes are drowning in cheese -; and calories. This lighter version is finished with a sprinkling of mozzarella.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Chicken sausage meatballs","chicken-sausage-meatballs-428","These chicken meatballs can be made ahead of time. Chill in the refrigerator overnight to use the next day or freeze for up to 3 months.","FXMed Team","General Wellness","5 min read","draft","","",""
"Cilantro lime dressing","cilantro-lime-dressing-429","Toss this homemade cilantro lime dressing with cabbage slaw mix for a tangy side dish. Or drizzle over tacos or quesadillas.","FXMed Team","General Wellness","5 min read","draft","","",""
"Citrus remoulade","citrus-remoulade-430","Remoulade is a mayonnaise-based sauce that pairs well with seafood. You can add citrus, dill, capers or other seasonings to create different flavors.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Citrus seared salmon","citrus-seared-salmon-431","This salmon recipe doubles down on citrus flavor -; with orange zest in the seasoning and orange juice in the sauce drizzled on after baking.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Citrus vinaigrette","citrus-vinaigrette-432","Why buy salad dressing when this delicious citrus vinaigrette can be made in minutes?","FXMed Team","General Wellness","5 min read","draft","","",""
"Coconut shrimp","coconut-shrimp-433","Crunchy, baked coconut shrimp can be prepared at home in less than 30 minutes. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Crab cakes","crab-cakes-434","Too many crab cakes are like breaded hockey pucks. This version has very little filler. Don't overmix!","FXMed Team","General Wellness","5 min read","draft","","",""
"Cracked wheat chili","cracked-wheat-chili-435","The bulgur wheat in this chili adds a lot of fiber, and it looks like ground beef. As a result, this healthy vegetarian chili looks like traditional chili.","FXMed Team","General Wellness","5 min read","draft","","",""
"Cranberry orange muffins","cranberry-orange-muffins-436","Looking for a breakfast treat? These muffins will hit the spot and are healthier than the typical bakery version.","FXMed Team","General Wellness","5 min read","draft","","",""
"Cranberry pecan rice pilaf","cranberry-pecan-rice-pilaf-437","It only takes a few minutes to turn a side dish of plain rice into cranberry pecan rice pilaf.  ","FXMed Team","General Wellness","5 min read","draft","","",""
"Cream of chicken and Wild rice chowder","cream-of-chicken-and-wild-rice-chowder-438","A cornstarch slurry thickens this soup without loads of cream. You can also thicken soup with leftover mashed potatoes or mashed cauliflower.","FXMed Team","General Wellness","5 min read","draft","","",""
"Creole shrimp","creole-shrimp-439","This spicy shrimp dish gets its kick from an easy homemade Creole seasoning blend. It's delicious over brown rice.","FXMed Team","General Wellness","5 min read","draft","","",""
"Dijon Parmesan crusted salmon","dijon-parmesan-crusted-salmon-440","This easy baked salmon is topped with a flavorful crust of Dijon mustard, Parmesan cheese and panko breadcrumbs. ","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Fire roasted corn Soup","comforting-fire-roasted-corn-soup-441","Roasted corn has a caramelized flavor that pairs well with this soup's creamy texture. Jalapeno peppers add kick.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting French onion Soup","comforting-french-onion-soup-442","Cooking the onions for a very long time is the key to this classic French onion soup.","FXMed Team","General Wellness","5 min read","draft","","",""
"Fried rice with mushrooms","fried-rice-with-mushrooms-443","This fried rice is as flavorful as your favorite takeout version, but it's packed with brown rice and veggies.","FXMed Team","General Wellness","5 min read","draft","","",""
"Garlic cauliflower potato mash","garlic-cauliflower-potato-mash-444","Be sure not to over whip the potatoes or they will take on a paste-like texture.","FXMed Team","General Wellness","5 min read","draft","","",""
"Grilled salmon","grilled-salmon-445","Try grilling lemons, cut-side down, alongside this grilled salmon. Grilled lemons have a sweeter, concentrated flavor and make for a fun presentation.","FXMed Team","General Wellness","5 min read","draft","","",""
"Herbed Asiago polenta","herbed-asiago-polenta-446","This recipe can be prepared a day or two in advance and be rewarmed in the oven. Store in the refrigerator.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Honey sage carrots","honey-sage-carrots-447","You'll be fighting over this bowl of sweet sauteed carrots with fresh sage and honey.","FXMed Team","General Wellness","5 min read","draft","","",""
"House ranch dressing","house-ranch-dressing-448","Guests at the Mayo Clinic Healthy Living Program can't get enough of the house ranch dressing, made from fat-free plain Greek yogurt.","FXMed Team","General Wellness","5 min read","draft","","",""
"Italian meatballs","italian-meatballs-449","You can freeze uncooked meatballs in an airtight container for up to 3 months. Thaw meatballs in the refrigerator overnight before baking.","FXMed Team","General Wellness","5 min read","draft","","",""
"Lemon pudding cakes","lemon-pudding-cakes-450","As this dessert bakes, a cake layer will form on the top with a creamy pudding layer underneath.","FXMed Team","General Wellness","5 min read","draft","","",""
"Lentil ragout","lentil-ragout-451","Any color of lentils may be used in this thick vegetarian stew, but red lentils will give the dish a beautiful rich color.","FXMed Team","General Wellness","5 min read","draft","","",""
"Marinara sauce","marinara-sauce-452","Use this homemade marinara for spaghetti, lasagna, pita pizza, chicken Parmesan and meatball subs. The red wine can be omitted, if desired.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Mushroom barley Soup","comforting-mushroom-barley-soup-453","This hearty barley soup is an excellent way to use up any cooked vegetables you have on hand.","FXMed Team","Heart Health","5 min read","draft","","",""
"Overnight orange cinnamon baked French toast","overnight-orange-cinnamon-baked-french-toast-454","This make-ahead French toast is perfect for houseguests or brunch -; it gets completely assembled the night before you plan to bake and serve it.","FXMed Team","General Wellness","5 min read","draft","","",""
"Overnight refrigerator oatmeal","overnight-refrigerator-oatmeal-455","Loaded with calcium, protein and fiber, this oatmeal will keep in the fridge up to 2 days. Try unsweetened almond or soy milk for a dairy-free option.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Parmesan roasted cauliflower","parmesan-roasted-cauliflower-456","Parmesan bread crumbs add texture and flavor to roasted cauliflower florets.","FXMed Team","General Wellness","5 min read","draft","","",""
"Peanut butter hummus","peanut-butter-hummus-457","This fresh spin on traditional hummus can be spread on sandwiches or served as a dip for apples and celery.","FXMed Team","General Wellness","5 min read","draft","","",""
"Pecan-crusted tofu","pecan-crusted-tofu-458","If you've never tried tofu, this is an excellent introduction. Use whatever nuts you have on hand.","FXMed Team","General Wellness","5 min read","draft","","",""
"Pico de gallo","pico-de-gallo-459","This fresh uncooked tomato salsa is perfect with chips, tacos or grilled fish.","FXMed Team","General Wellness","5 min read","draft","","",""
"Pita pizza","pita-pizza-460","Time-saving tip: Double the batch and place uncooked prepared pizzas in the freezer for later.","FXMed Team","General Wellness","5 min read","draft","","",""
"Potato cauliflower au gratin","potato-cauliflower-au-gratin-461","Chop potatoes and cauliflower about the size of a nickel so the dish will cook evenly in 25 minutes.","FXMed Team","General Wellness","5 min read","draft","","",""
"Pumpkin spice muffins","pumpkin-spice-muffins-462","When baking, use Greek yogurt to reduce or replace shortening, oil or butter. This cuts fat and makes muffins extra moist and tender.","FXMed Team","General Wellness","5 min read","draft","","",""
"Comforting Quibebe Soup","comforting-quibebe-soup-463","Need a new recipe for butternut squash? Try quibebe -; a delicious, thick, squash-based South American soup. ","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Quinoa cakes","quinoa-cakes-464","These golden-brown quinoa cakes are packed with nutrients and protein and are excellent served hot or at room temperature.","FXMed Team","General Wellness","5 min read","draft","","",""
"Roasted butternut squash fries","roasted-butternut-squash-fries-465","Roasted butternut squash fries are sweeter and healthier than traditional French fries. This recipe also works well with sweet potatoes or acorn squash.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Roasted Cornish hen","roasted-cornish-hen-466","Follow this fool-proof recipe for a juicy, tender, flavorful roasted Cornish hen.","FXMed Team","Nutrition & Healthy Eating","5 min read","draft","","",""
"Roasted green beans","roasted-green-beans-467","Looking for a fast side dish? This colorful combination of roasted green beans, tomatoes and fresh herbs can be ready in less than 20 minutes. ","FXMed Team","General Wellness","5 min read","draft","","",""
